gene,MCX20,MCX21,p_val,avg_logFC,pct.1,pct.2,p_val_adj,status,gene-name,chromosome,genetic-category,gene-score,syndromic,number-of-reports
EXOC3,0.3879694530367346,0.3690973856672307,0.05987075987579057,0.018872067369503864,0.127,0.142,1,9,exocyst complex component 3,5,Rare Single Gene Mutation,3,0,1
LAMA1,0.47501686814957983,0.44238667315022656,0.18579046032411758,0.032630194999353324,0.138,0.131,1,9,"Laminin, alpha 1",18,"Rare Single Gene Mutation, Genetic Association",3,0,5
DLGAP1,2.2930883794076355,2.3529943498454133,2.4658453651160363e-7,-0.05990597043777779,0.789,0.855,0.004297968471397251,9,DLG associated protein 1,18,"Rare Single Gene Mutation, Functional",2,0,7
MIB1,0.7874144215976782,0.7644607041599483,0.04418914327223846,0.022953717437729892,0.285,0.318,1,9,Mindbomb E3 ubiquitin protein ligase 1,18,Rare Single Gene Mutation,3,0,6
ASXL3,0.6449718035533059,0.6978818309890442,1.1825768175251447e-10,-0.05291002743573836,0.219,0.278,2.061231392946327e-6,9,Additional sex combs like 3 (Drosophila),18,"Rare Single Gene Mutation, Syndromic",1,0,22
PRKDC,0.137354702561539,0.13135223656213374,0.1810861706407646,0.00600246599940521,0.041,0.046,1,9,"protein kinase, DNA-activated, catalytic polypeptide",8,"Rare Single Gene Mutation, Syndromic, Functional",3,0,5
MCM4,0.06739290560250405,0.04856558253928261,0.22799377088157488,0.018827323063221324,0.019,0.016,1,9,minichromosome maintenance complex component 4,8,Rare Single Gene Mutation,3,0,2
RAB2A,0.5844858577404163,0.5516701322710168,0.09461015494827216,0.03281572546939948,0.189,0.209,1,9,"RAB2A, member RAS oncogene family",8,Rare Single Gene Mutation,2,0,8
CHD7,0.31343929393624637,0.3202137934919253,0.23727101949208204,-0.006774499555678826,0.07,0.075,1,9,chromodomain helicase DNA binding protein 7,8,"Rare Single Gene Mutation, Syndromic",1,0,27
FABP5,0.2038562749828999,0.16461696965485328,0.9947175452073443,0.039239305328046675,0.055,0.056,1,9,fatty acid binding protein 5 (psoriasis-associated),8,"Rare Single Gene Mutation, Functional",3,0,7
CNGB3,0.012426617090788983,0.01563347915641016,0.33805808623696576,-0.00320686206562101,0.004,0.005,1,9,cyclic nucleotide gated channel beta 3,8,Rare Single Gene Mutation,3,0,3
SDC2,0.7512713641356766,0.9277539812277684,1.3564079917775316e-32,-0.17648261709209168,0.238,0.342,2.3642191296682377e-28,9,"syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan )",8,"Rare Single Gene Mutation, Genetic Association",3,0,4
VPS13B,1.1926375931002169,1.2537984198617322,1.4277060402039825e-8,-0.06116082676151535,0.462,0.541,2.4884916280755416e-4,9,vacuolar protein sorting 13 homolog B (yeast),8,"Rare Single Gene Mutation, Syndromic",1,0,20
UBR5,0.790455576572918,0.7508255069304912,0.21078757834516398,0.03963006964242688,0.293,0.323,1,9,ubiquitin protein ligase E3 component n-recognin 5,8,Rare Single Gene Mutation,2,0,7
RAD21,0.2590850433326156,0.23267001008453175,0.9225774477773969,0.026415033248083836,0.083,0.085,1,9,RAD21cohesin complex component,8,Syndromic,NA,1,3
EXT1,1.3875758694098619,1.332892461732625,0.27041782684709464,0.054683407677236895,0.509,0.538,1,9,Exostosin 1,8,"Rare Single Gene Mutation, Genetic Association",3,0,6
TBC1D31,0.12455422412524728,0.1303430286431956,0.01060526462696661,-0.005788804517948401,0.039,0.049,1,9,"TBC1 domain family, member 31",8,Rare Single Gene Mutation,2,0,4
EFR3A,0.6058385540205652,0.5525884633424275,0.6500610378930589,0.053250090678137685,0.209,0.222,1,9,EFR3 homolog A (S. cerevisiae),8,Rare Single Gene Mutation,2,0,5
KCNQ3,2.5500181927571806,2.4807861145464347,3.267936671796185e-7,0.06923207821074584,0.86,0.869,0.005696013618940751,9,potassium voltage-gated channel subfamily Q member 3,8,"Rare Single Gene Mutation, Genetic Association",2,0,9
TRAPPC9,1.3503980878501585,1.5644066088492334,3.3199284047963286e-52,-0.2140085209990752,0.481,0.627,5.786635209560001e-48,9,trafficking protein particle complex 9,8,"Rare Single Gene Mutation, Syndromic",2,0,13
DNMT3A,0.2237929548809179,0.17758474624946918,0.20221408536423705,0.046208208631448616,0.071,0.066,1,9,DNA (cytosine-5-)-methyltransferase 3 alpha,2,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,12
KIF13B,0.7620004261420713,0.7061463316330163,0.11976118245169699,0.055854094509054875,0.229,0.25,1,9,Kinesin family member 13B,8,Rare Single Gene Mutation,3,0,3
SLC25A27,0.07497297658603547,0.06637754782533918,0.9192112758026549,0.008595428760696203,0.023,0.023,1,9,solute carrier family 25 member 27,6,Genetic Association,3,0,1
KCNS3,0.010812940297316703,0.011350122756352776,0.6720461100128954,-5.371824590360025e-4,0.004,0.003,1,9,potassium voltage-gated channel modifier subfamily S member 3,2,Rare Single Gene Mutation,2,0,4
ASAP2,0.3990604140174512,0.3224509724472396,0.05087957190882691,0.07660944157021166,0.132,0.123,1,9,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",2,Rare Single Gene Mutation,2,0,3
CMPK2,0.0468199707816293,0.04768994828820146,0.01837901019540779,-8.699775065721602e-4,0.012,0.017,1,9,cytidine/uridine monophosphate kinase 2,2,Rare Single Gene Mutation,3,0,2
MYT1L,3.080500091259426,2.9561780187065088,2.0653243251722767e-33,0.12432207255291727,0.948,0.951,3.599860298775278e-29,9,Myelin transcription factor 1-like,2,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,17
PXDN,0.7308751110467695,0.7553198434156115,8.186460733119958e-6,-0.024444732368842148,0.259,0.308,0.14269001057828087,9,peroxidasin,2,Rare Single Gene Mutation,3,0,5
SNTG2,0.11889783934621333,0.10609107002266954,0.4933826299378911,0.012806769323543785,0.026,0.028,1,9,syntrophin gamma 2,2,Rare Single Gene Mutation,3,0,6
DLGAP2,2.977056277529636,3.161676836990151,7.512732105529092e-79,-0.18462055946051503,0.936,0.954,1.3094692059937207e-74,9,"discs, large (Drosophila) homolog-associated protein 2",8,Rare Single Gene Mutation,3,0,12
CLN8,0.34964768701440474,0.3588814614904762,5.8409532844853767e-5,-0.009233774476071432,0.115,0.143,1,9,"Ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)",8,"Rare Single Gene Mutation, Syndromic",3,0,3
ARHGEF10,0.709990842995094,0.9652679767930038,1.9148640641421662e-67,-0.25527713379790973,0.242,0.392,3.3376080637997956e-63,9,Rho guanine nucleotide exchange factor 10,8,"Rare Single Gene Mutation, Functional",3,0,4
CSMD1,4.567625173674154,4.568236708380908,0.8516557102995613,-6.115347067545684e-4,0.987,0.991,1,9,CUB and Sushi multiple domains 1,8,"Rare Single Gene Mutation, Genetic Association",3,0,13
MCPH1,0.22931168432886287,0.16287467811483347,0.0018093908280481389,0.06643700621402931,0.066,0.054,1,9,microcephalin 1,8,Rare Single Gene Mutation,3,0,16
LRRC1,0.16697315750913944,0.16643090978060585,0.8379794554126266,5.422477285336735e-4,0.049,0.049,1,9,leucine rich repeat containing 1,6,"Rare Single Gene Mutation, Genetic Association",3,0,6
DST,2.021708759009848,2.016071281545952,0.5434793158538227,0.00563747746389609,0.778,0.825,1,9,Dystonin,6,Rare Single Gene Mutation,3,0,7
KHDRBS2,0.6686628928358911,0.6866056039943551,0.016925275144074055,-0.01794271115846402,0.174,0.194,1,9,"KH domain containing, RNA binding, signal transduction associated 2",6,Rare Single Gene Mutation,3,0,3
PHF3,0.8597481217062412,0.8818588029725677,6.650522904534038e-5,-0.022110681266326537,0.316,0.368,1,9,PHD finger protein 3,6,Rare Single Gene Mutation,1,0,3
RIMS1,2.0056604975616232,1.9877326636111086,0.577986160817457,0.01792783395051467,0.74,0.78,1,9,Regulating synaptic membrane exocytosis 1,6,"Rare Single Gene Mutation, Genetic Association",1,0,6
HTR1B,0.7569337665528455,0.7427147558090034,4.3095748890098365e-4,0.01421901074384202,0.244,0.285,1,9,5-hydroxytryptamine (serotonin) receptor 1B,6,"Rare Single Gene Mutation, Genetic Association",3,0,6
PHIP,1.0141055645821737,1.1313617666684053,1.001574810466411e-21,-0.11725620208623155,0.375,0.477,1.7457448946429544e-17,9,pleckstrin homology domain interacting protein,6,"Rare Single Gene Mutation, Syndromic",1,0,11
SYNCRIP,0.2881902165874166,0.27175893306014376,0.051320993169093436,0.01643128352727291,0.09,0.102,1,9,synaptotagmin binding cytoplasmic RNA interacting protein,6,Rare Single Gene Mutation,3,0,6
ZNF292,0.5031211244320876,0.5113268113133975,1.1826349239386987e-4,-0.00820568688130996,0.167,0.199,1,9,zinc finger protein 292,6,Rare Single Gene Mutation,1,0,4
CNR1,0.23060130642498755,0.16566990406975537,0.004564883756011865,0.06493140235523218,0.06,0.049,1,9,cannabinoid receptor 1 (brain),6,"Rare Single Gene Mutation, Genetic Association",2,0,7
USP45,0.5080349088289474,0.6063676833764585,6.045728499486729e-18,-0.09833277454751121,0.177,0.245,1.0537704774605369e-13,9,Ubiquitin specific peptidase 45,6,Rare Single Gene Mutation,2,0,3
GRIK2,2.8758694825435147,3.0454942167976595,9.745781995277316e-63,-0.16962473425414482,0.93,0.955,1.6986898017768363e-58,9,glutamate ionotropic receptor kainate type subunit 2,6,"Rare Single Gene Mutation, Genetic Association",2,0,18
WASF1,1.5966389308109101,1.69246642025419,4.158679268443582e-17,-0.09582748944328001,0.603,0.705,7.248577964897163e-13,9,WAS protein family member 1,6,Syndromic,NA,1,1
HS3ST5,2.268551810880647,2.2273524068365878,0.002386271964798753,0.04119940404405931,0.799,0.825,1,9,heparan sulfate (glucosamine) 3-O-sulfotransferase 5,6,Genetic Association,3,0,7
FRK,0.010356974634735531,0.006736313763713433,0.2098127466149754,0.0036206608710218956,0.004,0.002,1,9,fyn-related kinase,6,"Rare Single Gene Mutation, Genetic Association",3,0,3
PLN,0.3321908319862194,0.5567573983003039,5.4376222852886546e-61,-0.2245665663140845,0.112,0.223,9.477775643258125e-57,9,phospholamban,6,Rare Single Gene Mutation,3,0,4
SYNE1,2.557736702857289,2.4539954121610714,1.6652884582136284e-14,0.10374129069621763,0.885,0.915,2.902597782666354e-10,9,"spectrin repeat containing, nuclear envelope 1",6,"Rare Single Gene Mutation, Genetic Association",3,1,15
ARID1B,2.6908464526502063,2.60528896248645,4.4247947246693565e-14,0.08555749016375636,0.925,0.941,7.712417205098689e-10,9,AT-rich interaction domain 1B,6,"Rare Single Gene Mutation, Syndromic",1,0,42
PEX7,0.17793614436562086,0.21151561130992155,3.8304287334348553e-7,-0.03357946694430072,0.055,0.078,0.006676437282376953,9,peroxisomal biogenesis factor 7,6,"Rare Single Gene Mutation, Genetic Association",3,0,3
STXBP5,0.7751696361265095,0.7998291679696866,4.0402474367786946e-8,-0.024659531843177374,0.277,0.338,7.042151282305265e-4,9,Syntaxin binding protein 5 (tomosyn),6,Rare Single Gene Mutation,2,0,6
SASH1,1.5897940619354054,1.5350594811738887,7.903017420684264e-4,0.054734580761516494,0.49,0.476,1,9,SAM and SH3 domain containing 1,6,Rare Single Gene Mutation,3,0,2
RGS7,1.8005695207749544,1.9774763621956117,1.1938897536092244e-42,-0.17690684142065738,0.674,0.793,2.080949840540878e-38,9,regulator of G-protein signaling 7,1,Rare Single Gene Mutation,3,0,6
CHRM3,0.6140714536052653,0.5468453236244383,0.6096731396782178,0.067226129980827,0.087,0.085,1,9,cholinergic receptor muscarinic 3,1,"Rare Single Gene Mutation, Genetic Association",3,0,6
DISC1,0.4764191119663043,0.5783458495539426,1.6472540858997722e-22,-0.1019267375876382,0.153,0.225,2.871163871723303e-18,9,disrupted in schizophrenia 1,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,34
NUP133,0.11432135721166659,0.13305650015481948,2.6253736868871776e-4,-0.018735142943152913,0.036,0.049,1,9,nucleoporin 133kDa,1,Rare Single Gene Mutation,3,0,4
DLL1,0.030113166048957835,0.017244693969538382,0.008179474830131792,0.01286847207941955,0.009,0.005,1,9,delta like canonical Notch ligand 1,6,"Rare Single Gene Mutation, Syndromic",3,1,2
RPS6KA2,0.4512208524484993,0.5505036032208677,2.1457761201037533e-13,-0.09928275077236842,0.12,0.167,3.740087777340842e-9,9,"ribosomal protein S6 kinase, 90kDa, polypeptide 2",6,Rare Single Gene Mutation,3,0,4
PRKN,1.02430082680942,1.1257492987104276,2.3187012621027616e-14,-0.10144847190100759,0.314,0.387,4.0414962998451135e-10,9,parkin RBR E3 ubiquitin protein ligase,6,"Rare Single Gene Mutation, Genetic Association",2,0,15
MEMO1,0.591725774595645,0.6054459383355476,1.136521926989677e-5,-0.013720163739902591,0.207,0.252,0.19809577187430072,9,mediator of cell motility 1,2,"Rare Single Gene Mutation, Functional",3,0,2
SPAST,0.6687544433515946,0.6668415636348239,0.0011281067725444184,0.0019128797167705658,0.236,0.272,1,9,Spastin,2,Rare Single Gene Mutation,1,0,10
BIRC6,0.9556850571131889,1.0042193580145138,4.55611332667173e-9,-0.048534300901324934,0.366,0.441,7.941305528388826e-5,9,Baculoviral IAP repeat containing 6,2,Rare Single Gene Mutation,3,0,9
HNRNPU,1.6116614832791174,1.463100965976927,5.332184789386725e-16,0.14856051730219022,0.635,0.642,9.293998087901062e-12,9,heterogeneous nuclear ribonucleoprotein U,1,"Rare Single Gene Mutation, Syndromic, Functional",1,0,13
ADSS2,0.501875090307859,0.5047804087669802,0.004652416515735158,-0.002905318459121231,0.172,0.197,1,9,adenylosuccinate synthase 2,1,Rare Single Gene Mutation,3,0,3
GLO1,0.23984698640323296,0.249940882809034,8.134608106138035e-4,-0.010093896405801023,0.072,0.089,1,9,glyoxalase I,6,"Rare Single Gene Mutation, Genetic Association",3,0,10
BCL11A,1.9847859999815562,1.9571741402005023,0.3661331801122913,0.02761185978105396,0.733,0.768,1,9,B-cell CLL/lymphoma 11A (zinc finger protein),2,"Rare Single Gene Mutation, Syndromic",1,0,16
PAPOLG,0.01868540534236784,0.018330422263303767,0.43255771011380123,3.5498307906402585e-4,0.006,0.007,1,9,poly(A) polymerase gamma,2,Rare Single Gene Mutation,3,0,4
XPO1,0.5095525271534073,0.4894171582013663,0.06125965605164214,0.02013536895204099,0.175,0.195,1,9,"Exportin 1 (CRM1 homolog, yeast)",2,"Rare Single Gene Mutation, Genetic Association",3,0,5
CCT4,0.2857525646214656,0.19441187970680376,7.613925088020246e-4,0.09134068491466182,0.087,0.072,1,9,"Chaperonin containing TCP1, subunit 4 (delta)",2,Rare Single Gene Mutation,2,0,3
PLCB1,3.7868467686068756,3.6937399977894816,5.809554229266673e-23,0.09310677081739405,0.955,0.958,1.0126053021611812e-18,9,"phospholipase C, beta 1 (phosphoinositide-specific)",20,Rare Single Gene Mutation,2,0,7
SNAP25,1.6879467099004992,1.4167350389108555,5.63023707734617e-57,0.2712116709896437,0.666,0.618,9.813503225814375e-53,9,"Synaptosomal-associated protein, 25kDa",20,"Rare Single Gene Mutation, Genetic Association",3,0,6
SNX5,0.0544712493768433,0.06074818244060676,0.012991327772310981,-0.0062769330637635415,0.016,0.022,1,9,sorting nexin 5,20,Rare Single Gene Mutation,2,0,3
NRXN1,3.3611600101707255,3.4788443807260703,6.600192126296366e-44,-0.1176843705553452,0.968,0.98,1.1504134876134566e-39,9,neurexin 1,2,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,81
FBXO11,0.8086859340641762,0.9157311717828807,4.010656437680777e-23,-0.10704523771870422,0.298,0.398,6.990574170877594e-19,9,F-box protein 11,2,"Rare Single Gene Mutation, Syndromic",3,1,5
PPP2R5D,0.27816222941832425,0.2577788486232595,0.09250893658590004,0.020383380795064965,0.085,0.096,1,9,"Protein phosphatase 2, regulatory subunit B', delta",6,"Rare Single Gene Mutation, Syndromic",1,0,14
PTK7,0.1280675370412413,0.1892032658638845,3.3925092649485826e-16,-0.061135728822643315,0.04,0.074,5.913143648805379e-12,9,Protein tyrosine kinase 7 (inactive),6,Rare Single Gene Mutation,2,0,4
GALNT14,0.31321940425947153,0.20571784049714928,1.5642024627917487e-11,0.10750156376232228,0.093,0.062,2.7264048926460183e-7,9,polypeptide N-acetylgalactosaminyltransferase 14,2,"Rare Single Gene Mutation, Genetic Association",3,0,5
USH2A,1.2022597009319287,1.2151964781319016,0.0012857349202390713,-0.012936777199972882,0.448,0.508,1,9,usherin,1,Rare Single Gene Mutation,3,0,6
MARK1,0.7546502757770783,0.6851697574120411,0.8632248895153906,0.06948051836503721,0.253,0.269,1,9,microtubule affinity regulating kinase 1,1,"Rare Single Gene Mutation, Genetic Association",3,0,10
LRFN2,0.7856422706274363,1.0473713889582918,6.293556410972095e-81,-0.26172911833085555,0.165,0.32,1.0969668824324362e-76,9,leucine rich repeat and fibronectin type III domain containing 2,6,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,4
MACROD2,2.230963822481766,2.2322780883751125,0.2643056896518166,-0.001314265893346711,0.817,0.867,1,9,MACRO domain containing 2,20,"Rare Single Gene Mutation, Genetic Association",2,0,19
OTX1,0.015864506934692848,0.010272743504771753,0.03662614522648372,0.00559176342992101,0.005,0.003,1,9,Orthodenticle homeobox 1,2,Genetic Association,3,0,3
RAB11FIP5,0.018977084363597387,0.01587823695648104,0.1025846484707672,0.0030988474071163286,0.007,0.005,1,9,RAB11 family interacting protein 5,2,Rare Single Gene Mutation,3,0,5
EXOC6B,0.5602546781094709,0.5251030281192475,0.04833695743422909,0.035151649990223466,0.194,0.217,1,9,exocyst complex component 6B,2,Rare Single Gene Mutation,3,0,4
CTNNA2,2.460384870438508,2.5786111131009943,5.758793286532208e-21,-0.11822624266248649,0.835,0.901,1.0037576698425639e-16,9,catenin alpha 2,2,Syndromic,NA,1,1
BST1,0.02290935306810602,0.006949500960813802,0.0013597115206918729,0.01595985210729229,0.006,0.002,1,9,bone marrow stromal cell antigen 1,4,"Genetic Association, Functional",3,0,5
CD38,0.016386334595008923,0.020888675401923112,0.06040372669340209,-0.004502340806914123,0.004,0.006,1,9,CD38 molecule,4,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,8
GABRA4,1.3103613913503283,1.2772677084538926,0.8978006625954836,0.03309368289643566,0.504,0.552,1,9,"gamma-aminobutyric acid (GABA) A receptor, alpha 4",4,"Rare Single Gene Mutation, Genetic Association",3,0,6
SCFD2,0.8110001027152989,0.9379735528863818,2.2438090775364287e-24,-0.12697345017108297,0.291,0.39,3.9109592221459955e-20,9,sec1 family domain containing 2,4,Rare Single Gene Mutation,3,0,2
CEP135,0.38925217082704333,0.5574082948769433,3.875071543865048e-34,-0.16815612404990005,0.131,0.215,6.754249700956779e-30,9,centrosomal protein 135,4,"Rare Single Gene Mutation, Syndromic",2,0,6
PCM1,0.2669579662458383,0.24924586240218446,0.2757471774959069,0.017712103843653793,0.086,0.093,1,9,pericentriolar material 1,8,Rare Single Gene Mutation,3,0,3
FAT1,0.6413174773372735,0.6539901912501409,0.0014688552368329493,-0.012672713912867395,0.215,0.247,1,9,FAT atypical cadherin 1,4,Rare Single Gene Mutation,3,0,4
GRIA2,2.9418393208667712,2.923271292239002,0.1372083006768198,0.018568028627769184,0.949,0.965,1,9,glutamate ionotropic receptor AMPA type subunit 2,4,Rare Single Gene Mutation,2,0,3
TDO2,0.004883977279940512,0.011157735098343053,0.02275621600887415,-0.0062737578184025415,0.002,0.004,1,9,"tryptophan 2,3-dioxygenase",4,Genetic Association,3,0,4
TET2,0.888630045956885,0.9335170818578375,1.496205073250151e-7,-0.044887035900952776,0.32,0.383,0.002607885442675013,9,Tet methylcytosine dioxygenase 2,4,Rare Single Gene Mutation,2,0,4
DAPP1,0.04335278442008945,0.05321494846835314,0.002186494257476572,-0.009862164048263504,0.012,0.018,1,9,Dual adaptor of phosphotyrosine and 3-phosphoinositides,4,Rare Single Gene Mutation,2,0,1
EIF4E,0.14122014037419395,0.14623418080643794,0.01207853191567354,-0.005014040432243905,0.044,0.054,1,9,eukaryotic translation initiation factor 4E,4,"Rare Single Gene Mutation, Genetic Association",3,0,12
GRID2,1.9594882033932106,2.421946708811405,5.461984328649464e-227,-0.4624585054181942,0.647,0.851,9.520238684836016e-223,9,"glutamate receptor, ionotropic, delta 2",4,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,9
CCSER1,1.8306375468820142,2.0793869039204007,3.9191212961864816e-76,-0.24874935703838652,0.671,0.812,6.831028419253037e-72,9,coiled-coil serine rich protein 1,4,Rare Single Gene Mutation,3,0,2
ZNF827,0.7923136029093663,0.7738624414542846,0.005394832573419302,0.01845116145508152,0.28,0.323,1,9,Zinc finger protein 827,4,Genetic Association,3,0,1
NR3C2,2.1377963322394113,2.133060884849185,0.9695594563122888,0.004735447390225911,0.777,0.813,1,9,"Nuclear receptor subfamily 3, group C, member 2",4,"Rare Single Gene Mutation, Syndromic",2,1,5
LRBA,1.2952919962413243,1.5179901605268564,8.88205098114063e-61,-0.22269816428553213,0.496,0.661,1.5481414860128119e-56,9,"LPS-responsive vesicle trafficking, beach and anchor containing",4,Rare Single Gene Mutation,3,0,5
WDFY3,1.071109121334342,1.079505800354809,2.1049486064526598e-5,-0.008396679020467035,0.405,0.477,0.3668925421046986,9,WD repeat and FYVE domain containing 3,4,"Rare Single Gene Mutation, Syndromic, Functional",1,0,16
NAA15,0.3742629358365872,0.32897195513242405,0.6910851128185231,0.04529098070416315,0.127,0.128,1,9,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",4,"Rare Single Gene Mutation, Syndromic",1,0,13
SPARCL1,0.0022767407371471473,0.0010545694975146588,0.2589201312974426,0.0012221712396324308,0.001,0,1,9,SPARC like 1,4,"Rare Single Gene Mutation, Functional",2,0,3
ANK2,2.5117832983763804,2.448601073919129,9.112915555476422e-8,0.0631822244572513,0.909,0.93,0.0015883811813195404,9,"Ankyrin 2, neuronal",4,Rare Single Gene Mutation,1,0,13
PCDH10,1.1452297253549877,1.164097246369733,0.0013128396614515768,-0.018867521014745314,0.431,0.486,1,9,protocadherin 10,4,Rare Single Gene Mutation,3,0,8
PCDH19,0.8081158015949472,0.6287256167390756,1.2386051810388512e-10,0.17939018485587166,0.284,0.25,2.1588888305507177e-6,9,protocadherin 19,X,"Rare Single Gene Mutation, Syndromic, Functional",1,0,34
PCDH11X,1.731829139786006,1.9843496235718696,1.841354714160502e-110,-0.25252048378586367,0.518,0.722,3.209481266781755e-106,9,protocadherin 11 X-linked,X,Rare Single Gene Mutation,3,0,2
OPHN1,0.15780396870551475,0.23623112006304525,4.1354073471879417e-19,-0.0784271513575305,0.048,0.088,7.208015006148583e-15,9,oligophrenin 1,X,"Rare Single Gene Mutation, Syndromic",2,0,15
AR,0.043195970404146446,0.022898139504952193,0.009429289417632096,0.020297830899194173,0.013,0.008,1,9,androgen receptor,X,Genetic Association,3,0,6
SLC9A6,0.3841500267581081,0.30886089974490566,0.018976248447800964,0.07528912701320256,0.126,0.116,1,9,"solute carrier family 9 (sodium/hydrogen exchanger), member 6",X,"Rare Single Gene Mutation, Syndromic, Functional",1,0,15
GPC4,0.17924920554624,0.1418873147241123,0.037650619428310786,0.03736189082212757,0.049,0.041,1,9,glypican 4,X,Rare Single Gene Mutation,2,0,2
AGTR2,6.650256231658235e-4,0.0031450899032592953,0.25464537606149734,-0.0024800642800933124,0,0.001,1,9,"angiotensin II receptor, type 2",X,Rare Single Gene Mutation,3,0,3
IL1RAPL2,0.690270678259656,0.7014048128340269,2.7334409148443783e-5,-0.011134134574370846,0.094,0.118,0.47643875145737513,9,interleukin 1 receptor accessory protein-like 2,X,"Rare Single Gene Mutation, Genetic Association",3,0,2
UPF3B,0.21177477200939754,0.19499131650675314,0.4858908751505352,0.01678345550264443,0.07,0.073,1,9,"UPF3B, regulator of nonsense mediated mRNA decay",X,"Rare Single Gene Mutation, Syndromic",1,0,12
RAB39B,0.5017559554816948,0.39107318953358583,2.509690150767779e-4,0.11068276594810894,0.16,0.141,1,9,"RAB39B, member RAS oncogene family",X,Rare Single Gene Mutation,3,0,12
CD99L2,0.2595981576211211,0.21881141969089227,0.7432725509321916,0.04078673793022877,0.077,0.077,1,9,CD99 molecule like 2,X,Genetic Association,3,0,1
AFF2,0.9916059466775219,1.0861986801523469,4.905264189143776e-21,-0.094592733474825,0.27,0.36,8.549875481677602e-17,9,"AF4/FMR2 family, member 2",X,"Rare Single Gene Mutation, Syndromic",1,0,15
FMR1,0.511387615999405,0.5693367670991213,1.0230417536192871e-10,-0.05794915109971632,0.179,0.231,1.7831617765584175e-6,9,fragile X mental retardation 1,X,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,42
HDAC8,0.19724390307471917,0.20825264662971976,3.6605862285719464e-4,-0.011008743555000644,0.063,0.08,1,9,histone deacetylase 8,X,Syndromic,NA,1,6
ARHGEF9,3.209848575771789,3.3177698945371055,7.241552161626947e-37,-0.10792131876531652,0.951,0.962,1.2622025417715767e-32,9,Cdc42 guanine nucleotide exchange factor (GEF) 9,X,"Rare Single Gene Mutation, Syndromic",1,0,10
NEXMIF,1.3391157005463319,1.4053295078050456,1.575314560282762e-10,-0.06621380725871373,0.507,0.599,2.745773278572854e-6,9,neurite extension and migration factor,X,"Rare Single Gene Mutation, Syndromic",1,0,19
ATRX,1.4230420336710643,1.292638728397983,1.8917788300486562e-7,0.1304033052730813,0.545,0.553,0.003297370500774808,9,alpha thalassemia/mental retardation syndrome X-linked,X,"Rare Single Gene Mutation, Syndromic",1,0,20
NLGN3,0.26477973492328366,0.29665464384447654,1.9165804206118495e-5,-0.031874908921192935,0.079,0.102,0.33405996731264537,9,neuroligin 3,X,Rare Single Gene Mutation,1,0,34
SLC7A3,0.029312143100791367,0.028076395793419414,0.6296816331712065,0.0012357473073720641,0.008,0.009,1,9,"Solute carrier family 7 (cationic amino acid transporter, y+ system), member 3",X,Rare Single Gene Mutation,2,0,2
GAS2,0.1900112801157736,0.6212562232554614,3.527263583901571e-168,-0.4312449431396878,0.051,0.219,6.148020426740438e-164,9,Growth arrest-specific 2,11,Genetic Association,3,0,1
ELP4,0.8467012856178079,0.8863832029064378,5.805598997403009e-8,-0.03968191728863002,0.305,0.368,0.0010119159052473445,9,Elongator acetyltransferase complex subunit 4,11,"Rare Single Gene Mutation, Genetic Association",2,0,7
NAV2,1.837265909024038,2.0365573100988588,1.173532873426923e-51,-0.1992914010748208,0.678,0.803,2.045467798383127e-47,9,neuron navigator 2,11,Rare Single Gene Mutation,2,0,9
DHCR7,0.04873441238595698,0.05890933321961268,0.0031548502039606355,-0.01017492083365578,0.014,0.021,1,9,7-dehydrocholesterol reductase,11,"Rare Single Gene Mutation, Syndromic",1,0,16
PPFIA1,0.5233096401941388,0.5541787113879539,2.5911132160320906e-8,-0.030869071193815212,0.178,0.225,4.516310335543934e-4,9,PTPRF interacting protein alpha 1,11,Rare Single Gene Mutation,3,0,3
SHANK2,1.4161207892881342,1.6643235192434496,4.77793162581376e-69,-0.24820272995531534,0.519,0.684,8.327934823793385e-65,9,SH3 and multiple ankyrin repeat domains 2,11,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,33
CAPRIN1,0.870702778534505,0.7701895867280658,0.009264591983911845,0.10051319180643914,0.324,0.323,1,9,Cell cycle associated protein 1,11,"Rare Single Gene Mutation, Functional",2,0,4
DAGLA,0.4317805050259106,0.4067798483631585,0.17194550926981111,0.025000656662752085,0.146,0.16,1,9,diacylglycerol lipase alpha,11,"Rare Single Gene Mutation, Functional",3,0,4
SSRP1,0.15082442816738847,0.12429654293174792,0.6726071664475526,0.02652788523564069,0.043,0.042,1,9,structure specific recognition protein 1,11,Rare Single Gene Mutation,3,0,2
